#{"t_start": 1674047624.6019158, "env_id": null}
r,l,t
1.802,22,41.359235
1.874,14,41.423516
1.91,10,41.470625
1.874,14,41.537335
1.829,19,41.625403
1.739,29,41.756961
1.856,16,41.829212
1.928,8,41.866159
1.919,9,41.907504
1.928,8,41.944466
1.937,7,41.976885
1.874,14,42.040385
1.919,9,42.081792
1.937,7,42.114203
1.928,8,42.151012
1.946,6,42.178938
1.937,7,42.211327
1.937,7,42.243682
1.658,38,42.41483
1.892,12,42.469613
1.901,11,42.519985
1.892,12,42.57553
-0.9,100,43.026509
1.883,13,43.086035
1.901,11,43.136165
1.901,11,43.186309
1.91,10,43.232138
-0.9,100,43.677253
1.919,9,43.718902
1.874,14,43.782571
-0.9,100,44.237825
1.811,21,44.333101
-0.9,100,44.778755
1.928,8,44.815768
-0.9,100,45.270044
1.919,9,45.314123
1.874,14,45.378942
1.883,13,45.438317
1.91,10,45.484317
1.919,9,45.525731
1.919,9,45.567187
1.901,11,45.617275
1.865,15,45.685586
1.919,9,45.727041
1.883,13,45.786161
1.955,5,45.809754
1.964,4,45.828753
1.766,26,45.946332
1.928,8,45.983186
1.937,7,46.015653
1.91,10,46.061484
1.928,8,46.098358
1.901,11,46.149093
1.91,10,46.194897
-0.9,100,46.645729
-0.9,100,47.09051
1.919,9,47.131908
1.928,8,47.168718
1.946,6,47.196694
1.937,7,47.229233
1.937,7,47.261648
1.928,8,47.298472
1.955,5,47.322056
1.946,6,47.350073
1.946,6,47.378038
1.937,7,47.41045
1.856,16,47.482963
1.928,8,47.519952
1.892,12,47.575394
1.829,19,47.66251
1.856,16,47.737157
-0.9,100,48.193601
1.748,28,48.32006
1.874,14,48.383593
1.91,10,48.429349
1.91,10,48.475204
1.829,19,48.561166
1.775,25,48.674286
1.91,10,48.720404
1.928,8,48.757247
1.937,7,48.789721
1.937,7,48.822171
1.928,8,48.860193
1.928,8,48.897473
1.874,14,48.961704
1.928,8,49.000077
1.892,12,49.056151
1.937,7,49.09044
1.874,14,49.155399
1.91,10,49.201624
1.919,9,49.243131
1.82,20,49.334072
1.91,10,49.379956
1.865,15,49.447827
1.874,14,49.511806
1.865,15,49.579765
1.856,16,49.652257
1.856,16,49.724866
1.865,15,49.792639
1.838,18,49.873978
1.901,11,49.924313
1.892,12,49.979295
-0.9,100,50.431624
1.937,7,50.464586
1.847,17,50.541778
1.928,8,50.578771
1.919,9,50.620229
1.937,7,50.652715
1.928,8,50.689859
1.919,9,50.731284
1.955,5,50.754845
1.946,6,50.782875
1.937,7,50.815285
1.757,27,50.937293
1.901,11,50.987627
1.892,12,51.042365
1.883,13,51.101594
1.901,11,51.151801
1.883,13,51.210985
1.892,12,51.266242
1.91,10,51.312259
1.874,14,51.376579
1.919,9,51.418207
-0.9,100,51.876581
1.919,9,51.918143
1.892,12,51.972743
1.892,12,52.027591
1.793,23,52.131603
1.91,10,52.177374
1.901,11,52.227748
1.874,14,52.291266
1.874,14,52.354767
1.82,20,52.444957
1.91,10,52.490982
1.901,11,52.541281
1.739,29,52.673459
1.676,36,52.839731
1.883,13,52.900309
1.91,10,52.946762
1.928,8,52.983856
1.829,19,53.069822
-0.9,100,53.517735
1.928,8,53.554812
1.955,5,53.578447
1.91,10,53.624263
1.955,5,53.647835
1.946,6,53.676339
1.946,6,53.704413
1.946,6,53.732525
1.928,8,53.769494
-0.9,100,54.222628
1.91,10,54.26883
1.919,9,54.310214
1.955,5,54.333771
1.928,8,54.370728
-0.9,100,54.815159
-0.9,100,55.263831
1.919,9,55.306837
1.739,29,55.442004
-0.9,100,55.888257
1.892,12,55.943008
1.883,13,56.001923
1.901,11,56.052122
1.892,12,56.106831
1.883,13,56.165973
1.874,14,56.229604
1.874,14,56.293161
1.874,14,56.357084
1.919,9,56.399465
1.928,8,56.436636
1.946,6,56.464907
1.91,10,56.511434
1.928,8,56.549628
1.937,7,56.582618
-0.9,100,57.034103
-0.9,100,57.478809
-0.9,100,57.932154
1.901,11,57.983402
1.73,30,58.118396
1.658,38,58.289433
1.955,5,58.313071
1.883,13,58.372215
1.865,15,58.440209
1.775,25,58.552883
1.928,8,58.589939
1.91,10,58.635647
1.856,16,58.708032
1.901,11,58.758163
1.901,11,58.808517
-0.9,100,59.260864
1.811,21,59.355777
1.802,22,59.455266
1.775,25,59.568261
1.721,31,59.707931
1.928,8,59.745013
1.91,10,59.790834
1.919,9,59.832219
1.865,15,59.90375
1.946,6,59.93188
1.919,9,59.973151
1.946,6,60.001137
-0.9,100,60.455145
-0.9,100,60.901444
1.937,7,60.933917
1.901,11,60.984205
1.883,13,61.043536
1.91,10,61.089515
1.874,14,61.15299
1.892,12,61.207695
1.883,13,61.266908
1.91,10,61.312807
1.883,13,61.37204
1.928,8,61.409516
1.901,11,61.460658
1.919,9,61.50273
1.919,9,61.545542
1.901,11,61.597127
1.847,17,61.676495
1.91,10,61.723337
1.91,10,61.769491
1.919,9,61.81077
1.91,10,61.856502
1.91,10,61.902488
1.757,27,62.024275
1.883,13,62.083485
1.892,12,62.138208
1.874,14,62.201917
1.883,13,62.261211
1.955,5,62.284861
1.928,8,62.321898
1.928,8,62.358827
1.937,7,62.391212
1.937,7,62.423594
1.667,37,62.590134
1.892,12,62.645025
1.883,13,62.705453
1.91,10,62.751501
1.91,10,62.79805
1.874,14,62.862925
1.874,14,62.929069
-0.9,100,63.378603
1.856,16,63.450856
1.811,21,63.545748
1.91,10,63.591454
1.883,13,63.650618
1.874,14,63.714319
1.874,14,63.777892
1.901,11,63.82808
1.901,11,63.878205
1.874,14,63.942844
-0.9,100,64.399386
1.919,9,64.440823
1.91,10,64.486732
1.847,17,64.563629
1.919,9,64.604998
1.901,11,64.655244
1.856,16,64.728647
1.928,8,64.765522
1.928,8,64.802357
1.91,10,64.847962
1.946,6,64.876004
1.946,6,64.904005
1.946,6,64.93196
1.937,7,64.964528
1.937,7,64.996972
1.847,17,65.073892
1.829,19,65.160318
1.919,9,65.202335
-0.9,100,65.658597
1.874,14,65.722475
1.946,6,65.750481
1.964,4,65.769444
1.946,6,65.797476
1.946,6,65.825485
1.712,32,65.969884
1.928,8,66.006899
1.946,6,66.034933
1.901,11,66.085016
1.964,4,66.104004
1.946,6,66.131976
1.919,9,66.173343
1.82,20,66.263859
-0.9,100,66.715897
1.91,10,66.762225
1.883,13,66.821269
1.91,10,66.867107
1.676,36,67.029072
1.928,8,67.065933
1.802,22,67.165512
1.856,16,67.237815
1.892,12,67.292493
1.82,20,67.382652
1.901,11,67.432849
1.82,20,67.523409
1.766,26,67.640759
1.874,14,67.705518
1.757,27,67.829343
1.883,13,67.889779
1.919,9,67.933014
1.919,9,67.975138
-0.9,100,68.420254
1.901,11,68.473201
1.829,19,68.559259
1.892,12,68.613973
1.883,13,68.673155
1.919,9,68.714674
