#{"t_start": 1674041693.2879937, "env_id": null}
r,l,t
1.874,14,44.400235
-0.9,100,44.856349
1.811,21,44.95358
-0.9,100,45.416751
1.928,8,45.455663
-0.9,100,45.91512
1.919,9,45.957633
1.874,14,46.022873
1.883,13,46.08339
1.91,10,46.13032
1.919,9,46.172531
1.919,9,46.215496
1.901,11,46.266983
1.865,15,46.336878
1.919,9,46.379459
1.883,13,46.445793
1.955,5,46.470572
1.964,4,46.490494
1.766,26,46.61423
1.928,8,46.652722
1.937,7,46.686515
1.91,10,46.733697
1.928,8,46.771571
1.901,11,46.823395
1.91,10,46.870491
-0.9,100,47.325106
-0.9,100,47.782414
1.919,9,47.826388
1.928,8,47.865465
1.946,6,47.896152
1.937,7,47.930046
1.937,7,47.963809
1.928,8,48.00163
1.955,5,48.025712
1.946,6,48.054394
1.946,6,48.083037
1.937,7,48.116505
1.856,16,48.190699
1.928,8,48.228384
1.892,12,48.284788
1.829,19,48.372626
1.856,16,48.446657
-0.9,100,48.905535
1.73,30,49.047351
1.874,14,49.114364
1.91,10,49.16336
1.91,10,49.211263
1.829,19,49.299571
1.775,25,49.41516
1.91,10,49.462028
1.928,8,49.499782
1.937,7,49.533065
1.937,7,49.566317
1.928,8,49.604064
1.928,8,49.641923
1.874,14,49.706903
1.928,8,49.744571
1.892,12,49.800575
1.937,7,49.833752
1.874,14,49.898911
1.91,10,49.946139
1.919,9,49.988521
1.82,20,50.081289
1.91,10,50.128237
1.865,15,50.199405
1.874,14,50.265855
1.865,15,50.33865
1.856,16,50.415823
1.856,16,50.491281
1.865,15,50.561556
1.838,18,50.645406
1.901,11,50.696857
1.892,12,50.752759
-0.9,100,51.206417
1.937,7,51.239628
1.847,17,51.319083
1.928,8,51.356923
1.919,9,51.399142
1.937,7,51.433399
1.928,8,51.471551
1.919,9,51.515144
1.955,5,51.539703
1.946,6,51.569899
1.937,7,51.603875
1.757,27,51.731373
1.901,11,51.78343
1.892,12,51.839425
1.883,13,51.899874
1.901,11,51.951256
1.883,13,52.011933
1.892,12,52.068125
1.91,10,52.115046
1.874,14,52.180827
1.919,9,52.223045
-0.9,100,52.683495
1.919,9,52.726771
1.892,12,52.783851
1.892,12,52.841674
1.793,23,52.951553
1.91,10,52.99928
1.901,11,53.05126
1.874,14,53.116474
1.874,14,53.181556
1.82,20,53.274372
1.91,10,53.321499
1.901,11,53.372953
1.739,29,53.507157
1.676,36,53.673263
1.883,13,53.733922
1.91,10,53.780805
1.928,8,53.818734
1.829,19,53.906665
-0.9,100,54.373219
1.928,8,54.411467
1.955,5,54.435737
1.91,10,54.482666
1.955,5,54.50688
1.946,6,54.535554
1.946,6,54.564286
1.946,6,54.596508
1.928,8,54.634489
-0.9,100,55.090656
1.91,10,55.13764
1.919,9,55.180364
1.955,5,55.20504
1.928,8,55.243372
-0.9,100,55.706705
-0.9,100,56.162482
1.919,9,56.205234
1.739,29,56.339446
-0.9,100,56.804861
1.892,12,56.861086
1.883,13,56.921551
1.901,11,56.972934
1.892,12,57.029052
1.883,13,57.089961
1.874,14,57.155759
1.874,14,57.220986
1.874,14,57.286444
1.919,9,57.328766
1.928,8,57.366563
1.946,6,57.395207
1.91,10,57.442157
1.928,8,57.479871
1.937,7,57.513192
-0.9,100,57.977998
-0.9,100,58.433731
-0.9,100,58.892843
1.901,11,58.944339
1.73,30,59.085638
1.658,38,59.266349
1.955,5,59.290851
1.883,13,59.351551
1.865,15,59.421237
1.775,25,59.536844
1.928,8,59.574787
1.91,10,59.621624
1.856,16,59.695908
1.901,11,59.747354
1.901,11,59.799244
-0.9,100,60.257111
1.811,21,60.355713
1.802,22,60.461561
1.775,25,60.579329
1.721,31,60.722684
1.928,8,60.760931
1.91,10,60.807928
1.919,9,60.850344
1.865,15,60.920273
1.946,6,60.948987
1.919,9,60.991372
1.946,6,61.020055
-0.9,100,61.476606
-0.9,100,61.942711
1.937,7,61.976042
1.901,11,62.027607
1.883,13,62.088337
1.91,10,62.13587
1.874,14,62.20136
1.892,12,62.257493
1.883,13,62.318151
1.91,10,62.365236
1.883,13,62.426016
1.928,8,62.463782
1.901,11,62.515551
1.919,9,62.557981
1.919,9,62.600592
1.91,10,62.647499
1.847,17,62.726341
1.91,10,62.774657
1.91,10,62.822797
1.919,9,62.866094
1.91,10,62.914621
1.91,10,62.962537
