#{"t_start": 1674041575.6380377, "env_id": null}
r,l,t
1.685,35,75.894211
-0.9,100,76.359234
-0.9,100,76.82034
1.928,8,76.858095
1.622,42,77.051711
1.739,29,77.185541
1.748,28,77.316086
1.46,60,77.598459
1.91,10,77.645589
1.919,9,77.687886
1.919,9,77.730143
1.901,11,77.78155
1.91,10,77.828457
-0.9,100,78.282796
1.91,10,78.329579
1.892,12,78.385645
1.964,4,78.405111
1.901,11,78.456688
-0.9,100,78.926413
1.937,7,78.959705
-0.9,100,79.419369
1.937,7,79.452742
1.937,7,79.485725
1.721,31,79.628752
1.595,45,79.837814
1.892,12,79.895056
1.919,9,79.938968
1.838,18,80.025907
1.937,7,80.059899
1.937,7,80.093748
1.937,7,80.127273
1.604,44,80.329964
1.937,7,80.363314
1.946,6,80.391939
1.91,10,80.438816
1.937,7,80.472249
-0.9,100,80.928367
1.928,8,80.966265
1.82,20,81.063763
1.865,15,81.13446
1.82,20,81.22928
1.874,14,81.297111
1.748,28,81.427531
1.64,40,81.612025
1.469,59,81.882688
1.811,21,81.980294
1.82,20,82.072983
1.829,19,82.161311
1.703,33,82.314208
-0.9,100,82.778926
1.676,36,82.945485
1.91,10,82.992402
1.487,57,83.254003
1.937,7,83.287481
1.793,23,83.396555
1.919,9,83.439344
1.793,23,83.545663
1.937,7,83.579867
1.82,20,83.675835
1.874,14,83.743428
1.919,9,83.787184
1.784,24,83.900817
1.622,42,84.094429
1.865,15,84.164722
-0.9,100,84.624933
1.793,23,84.732005
1.82,20,84.825761
-0.9,100,85.286047
1.865,15,85.355824
1.784,24,85.466954
1.901,11,85.518505
1.676,36,85.685234
1.847,17,85.764131
1.937,7,85.797343
1.793,23,85.903573
-0.9,100,86.370525
1.919,9,86.413763
1.739,29,86.548269
1.928,8,86.586109
1.73,30,86.724276
1.955,5,86.748375
1.802,22,86.850291
1.829,19,86.939055
-0.9,100,87.398544
1.739,29,87.534978
1.766,26,87.658906
1.847,17,87.737607
1.883,13,87.798513
1.757,27,87.923311
-0.9,100,88.379659
1.91,10,88.426481
1.883,13,88.48713
1.883,13,88.54742
-0.9,100,89.014937
1.901,11,89.066603
1.712,32,89.214132
1.73,30,89.352866
1.721,31,89.495785
1.901,11,89.547507
1.901,11,89.59887
1.712,32,89.747002
1.856,16,89.821088
1.892,12,89.878275
1.919,9,89.921362
-0.9,100,90.386314
1.847,17,90.465744
1.703,33,90.617519
1.838,18,90.700846
1.892,12,90.756903
1.793,23,90.863196
