#{"t_start": 1674047509.3722577, "env_id": null}
r,l,t
1.937,7,67.957622
1.937,7,67.990012
1.955,5,68.013556
1.883,13,68.072708
1.937,7,68.105155
1.739,29,68.236016
1.793,23,68.34001
-0.9,100,68.796395
1.892,12,68.852015
-0.9,100,69.301251
1.928,8,69.338283
1.856,16,69.410793
1.847,17,69.490504
1.964,4,69.509496
1.964,4,69.528551
1.856,16,69.601143
1.892,12,69.655784
1.937,7,69.6882
1.757,27,69.811588
1.946,6,69.840101
1.955,5,69.863882
1.955,5,69.888152
1.946,6,69.917176
1.919,9,69.959614
1.919,9,70.002805
1.946,6,70.03171
1.919,9,70.073931
1.712,32,70.218841
1.514,54,70.460995
1.91,10,70.507027
1.748,28,70.633635
1.649,39,70.811212
-0.9,100,71.266273
1.802,22,71.367982
1.937,7,71.40063
1.775,25,71.513585
1.937,7,71.546061
1.955,5,71.569471
1.919,9,71.610799
1.937,7,71.643331
1.946,6,71.67147
1.667,37,71.838872
1.955,5,71.862285
1.703,33,72.013717
1.937,7,72.046292
1.757,27,72.172637
1.748,28,72.29985
-0.9,100,72.757057
1.703,33,72.905686
-0.9,100,73.354487
-0.9,100,73.809661
1.847,17,73.888478
1.901,11,73.939234
1.901,11,73.989769
1.757,27,74.111781
1.919,9,74.153268
1.892,12,74.20811
1.685,35,74.36532
-0.9,100,74.814742
-0.9,100,75.2726
1.928,8,75.309728
1.622,42,75.500158
1.739,29,75.630944
1.748,28,75.757285
1.46,60,76.026467
1.91,10,76.073603
1.919,9,76.115608
1.919,9,76.157689
1.901,11,76.209107
1.91,10,76.256375
-0.9,100,76.704145
1.91,10,76.750298
1.892,12,76.805203
1.964,4,76.824196
1.901,11,76.874719
-0.9,100,77.326921
1.937,7,77.359879
-0.9,100,77.815837
1.937,7,77.84842
1.937,7,77.880757
1.721,31,78.020815
1.595,45,78.223148
1.892,12,78.277804
1.919,9,78.31927
1.838,18,78.401034
1.937,7,78.43356
1.937,7,78.466026
1.937,7,78.498501
1.604,44,78.69891
1.937,7,78.732769
1.946,6,78.761797
1.91,10,78.809634
1.937,7,78.843121
-0.9,100,79.291424
1.928,8,79.328588
1.838,18,79.410343
1.865,15,79.480637
1.82,20,79.571072
1.874,14,79.634856
1.748,28,79.761067
1.64,40,79.943607
1.469,59,80.21451
1.811,21,80.309735
1.82,20,80.400356
1.829,19,80.487549
1.703,33,80.636327
-0.9,100,81.082681
-0.9,100,81.537086
1.91,10,81.582987
1.487,57,81.838643
1.937,7,81.871213
1.793,23,81.977761
1.919,9,82.019751
1.793,23,82.123687
1.937,7,82.156109
1.82,20,82.246881
1.874,14,82.310472
1.919,9,82.352439
1.784,24,82.461992
1.622,42,82.656926
1.865,15,82.72563
-0.9,100,83.175522
1.793,23,83.278903
1.82,20,83.369492
-0.9,100,83.818011
1.865,15,83.889051
1.784,24,83.998541
1.901,11,84.049003
1.676,36,84.211663
1.847,17,84.288735
1.937,7,84.321311
1.793,23,84.429479
-0.9,100,84.879535
1.919,9,84.92132
1.739,29,85.054575
1.928,8,85.09292
1.73,30,85.230283
1.955,5,85.253917
1.802,22,85.353609
1.829,19,85.440562
-0.9,100,85.886892
1.739,29,86.017948
1.766,26,86.137042
1.847,17,86.215096
1.883,13,86.275676
1.757,27,86.40205
-0.9,100,86.849582
1.91,10,86.89792
1.883,13,86.957389
1.883,13,87.016493
-0.9,100,87.463865
1.901,11,87.515293
1.712,32,87.664395
1.73,30,87.801297
1.721,31,87.94135
1.901,11,87.991671
1.901,11,88.042163
1.712,32,88.186499
1.856,16,88.259069
1.883,13,88.318035
1.919,9,88.359452
-0.9,100,88.810955
1.847,17,88.890973
1.703,33,89.041173
1.838,18,89.122411
1.892,12,89.177168
1.793,23,89.281044
1.892,12,89.335798
1.775,25,89.448635
1.928,8,89.485543
1.955,5,89.509257
1.838,18,89.591139
1.955,5,89.614704
1.946,6,89.64283
-0.9,100,90.093681
1.937,7,90.126825
1.928,8,90.165574
1.937,7,90.198904
1.856,16,90.272772
1.703,33,90.421152
1.955,5,90.445261
1.883,13,90.504915
1.856,16,90.577617
1.883,13,90.636788
1.919,9,90.678271
1.919,9,90.720193
1.784,24,90.828542
1.676,36,90.990978
1.901,11,91.041372
1.901,11,91.091914
-0.9,100,91.5454
-0.9,100,91.992548
1.838,18,92.07408
-0.9,100,92.52306
1.874,14,92.587918
1.928,8,92.629196
1.928,8,92.667557
1.892,12,92.723857
-0.9,100,93.168658
1.712,32,93.312799
1.919,9,93.353963
1.829,19,93.439764
1.892,12,93.494595
1.811,21,93.589741
1.793,23,93.694237
1.892,12,93.749804
1.811,21,93.847039
1.955,5,93.871293
1.928,8,93.909429
1.766,26,94.03038
1.748,28,94.156788
1.847,17,94.233865
1.829,19,94.319806
-0.9,100,94.768753
1.793,23,94.87264
1.919,9,94.914293
-0.9,100,95.368587
1.595,45,95.571818
-0.9,100,96.022693
1.901,11,96.072865
1.865,15,96.141135
1.928,8,96.178095
1.73,30,96.315497
1.919,9,96.357801
-0.9,100,96.810205
1.703,33,96.959439
1.919,9,97.000741
1.676,36,97.163176
1.847,17,97.240093
1.532,52,97.474626
1.946,6,97.502855
1.901,11,97.553768
1.838,18,97.636978
1.91,10,97.683709
1.847,17,97.763145
1.874,14,97.827374
1.748,28,97.953757
1.91,10,97.999574
-0.9,100,98.444886
1.928,8,98.481792
1.577,47,98.693627
1.865,15,98.763336
1.919,9,98.805073
-0.9,100,99.261017
1.631,41,99.445778
1.883,13,99.504946
1.631,41,99.689753
1.847,17,99.766837
1.901,11,99.817264
1.658,38,99.989054
1.883,13,100.048735
1.883,13,100.108487
1.892,12,100.165056
1.514,54,100.411673
1.73,30,100.548574
1.775,25,100.661474
-0.9,100,101.107082
-0.9,100,101.563776
-0.9,100,102.013912
-0.9,100,102.462361
1.91,10,102.509736
-0.9,100,102.966974
-0.9,100,103.414206
1.91,10,103.459904
1.865,15,103.528161
1.568,48,103.744253
1.559,49,103.968445
1.703,33,104.120039
1.793,23,104.224166
1.748,28,104.350621
1.901,11,104.401082
1.883,13,104.46041
-0.9,100,104.909051
-0.9,100,105.365908
1.829,19,105.452812
1.901,11,105.504082
1.757,27,105.628375
1.757,27,105.750516
1.919,9,105.791907
1.919,9,105.833237
1.829,19,105.919248
1.928,8,105.956244
-0.9,100,106.404721
1.811,21,106.502875
1.928,8,106.54104
1.82,20,106.632203
-0.9,100,107.076769
1.874,14,107.140557
1.937,7,107.172997
1.946,6,107.201015
1.748,28,107.327442
1.919,9,107.36878
1.874,14,107.432424
1.856,16,107.50525
1.748,28,107.634154
-0.9,100,108.088445
1.883,13,108.147919
1.946,6,108.175956
1.964,4,108.195036
1.946,6,108.223054
1.946,6,108.251098
1.865,15,108.31912
-0.9,100,108.769643
1.946,6,108.798145
1.829,19,108.884763
1.964,4,108.904024
1.946,6,108.933485
1.883,13,108.994169
1.937,7,109.028449
1.838,18,109.111583
1.91,10,109.157614
1.82,20,109.24796
1.883,13,109.307273
1.811,21,109.402134
1.928,8,109.438992
1.838,18,109.520479
1.766,26,109.637845
1.748,28,109.764484
1.802,22,109.86419
1.847,17,109.94239
1.766,26,110.060651
1.892,12,110.115885
1.874,14,110.180135
1.721,31,110.323787
-0.9,100,110.771604
1.919,9,110.813208
1.919,9,110.854737
1.901,11,110.905108
1.874,14,110.96903
1.874,14,111.032559
-0.9,100,111.482932
1.721,31,111.626625
1.919,9,111.668246
