#{"t_start": 1674047696.877183, "env_id": null}
r,l,t
-0.9,100,47.952402
1.964,4,47.971462
1.946,6,47.999576
1.919,9,48.041572
1.937,7,48.074196
1.811,21,48.168871
1.91,10,48.215868
1.901,11,48.267115
1.91,10,48.314006
1.874,14,48.379463
1.928,8,48.418122
1.892,12,48.474771
1.892,12,48.530391
1.892,12,48.585654
1.874,14,48.649184
1.901,11,48.699515
1.892,12,48.754133
1.883,13,48.813052
1.865,15,48.880805
1.883,13,48.939971
1.892,12,48.994723
1.919,9,49.036207
1.91,10,49.08204
1.901,11,49.13228
1.901,11,49.182546
1.901,11,49.232911
1.892,12,49.287742
1.883,13,49.34702
1.919,9,49.38838
