#{"t_start": 1674041875.913214, "env_id": null}
r,l,t
1.937,7,59.670375
1.802,22,59.772208
1.847,17,59.851149
1.802,22,59.953557
1.955,5,59.977734
1.946,6,60.006507
1.928,8,60.044642
1.919,9,60.088311
1.721,31,60.235835
1.919,9,60.278717
1.748,28,60.408136
1.91,10,60.455037
1.829,19,60.543053
1.46,60,60.817723
1.955,5,60.841853
1.883,13,60.902556
1.874,14,60.970979
-0.9,100,61.436347
1.829,19,61.526007
1.919,9,61.568297
1.892,12,61.62454
1.676,36,61.790231
1.919,9,61.832497
1.73,30,61.971155
1.919,9,62.013369
1.964,4,62.03274
1.955,5,62.056965
1.874,14,62.122083
-0.9,100,62.579153
1.865,15,62.650872
1.847,17,62.732679
1.946,6,62.76191
1.955,5,62.786282
1.928,8,62.824322
1.946,6,62.853299
1.928,8,62.890982
1.757,27,63.01545
1.946,6,63.044065
1.712,32,63.191686
1.892,12,63.247731
1.784,24,63.358617
1.91,10,63.405553
1.838,18,63.488565
1.883,13,63.549069
1.865,15,63.618811
1.784,24,63.731096
1.658,38,63.90937
1.865,15,63.981588
1.937,7,64.01536
1.955,5,64.039778
1.883,13,64.100662
1.919,9,64.143131
1.946,6,64.172021
-0.9,100,64.627916
1.874,14,64.694207
-0.9,100,65.154519
1.937,7,65.189256
-0.9,100,65.650051
1.892,12,65.706132
-0.9,100,66.166918
1.892,12,66.223634
-0.9,100,66.685095
1.478,58,66.951003
1.901,11,67.002476
1.901,11,67.053998
1.901,11,67.10559
-0.9,100,67.566414
1.847,17,67.648071
1.721,31,67.795745
-0.9,100,68.255628
1.595,45,68.462386
1.685,35,68.623713
1.748,28,68.754046
1.874,14,68.819661
1.703,33,68.976791
-0.9,100,69.43778
1.874,14,69.502811
1.649,39,69.684325
1.919,9,69.727017
1.604,44,69.929212
1.784,24,70.041303
1.928,8,70.079845
1.73,30,70.221673
1.928,8,70.2612
1.766,26,70.382294
1.955,5,70.406239
1.757,27,70.530835
1.928,8,70.568615
1.937,7,70.601704
1.721,31,70.744738
-0.9,100,71.202706
1.937,7,71.235711
1.739,29,71.370912
1.55,50,71.606509
1.928,8,71.644427
-0.9,100,72.101865
1.91,10,72.148697
1.937,7,72.181936
1.937,7,72.215271
1.937,7,72.248428
1.928,8,72.286147
1.955,5,72.310238
1.946,6,72.338896
1.892,12,72.394783
1.631,41,72.585377
1.856,16,72.661198
1.928,8,72.700231
1.82,20,72.799023
1.883,13,72.86075
-0.9,100,73.31885
1.55,50,73.548213
-0.9,100,74.016072
-0.9,100,74.475515
1.433,63,74.765042
1.865,15,74.834721
1.451,61,75.11621
-0.9,100,75.577988
1.775,25,75.693597
-0.9,100,76.15177
1.937,7,76.184852
1.901,11,76.236334
1.928,8,76.274612
1.739,29,76.410215
1.901,11,76.463326
1.928,8,76.503306
1.883,13,76.565434
1.928,8,76.603661
1.838,18,76.687008
1.838,18,76.770447
1.919,9,76.81286
1.892,12,76.868767
1.658,38,77.043581
1.865,15,77.113215
-0.9,100,77.572649
1.397,67,77.886886
1.712,32,78.034373
-0.9,100,78.494113
1.838,18,78.577118
1.748,28,78.70631
1.901,11,78.757823
1.784,24,78.870069
1.865,15,78.941553
1.937,7,78.975453
1.901,11,79.029964
1.928,8,79.068523
1.919,9,79.111761
1.937,7,79.145455
1.928,8,79.183303
1.73,30,79.32113
1.955,5,79.345221
1.946,6,79.373907
1.937,7,79.407059
1.73,30,79.545211
1.901,11,79.596603
-0.9,100,80.053067
1.883,13,80.114388
1.901,11,80.166589
-0.9,100,80.631062
-0.9,100,81.090358
1.829,19,81.178374
1.649,39,81.358927
1.91,10,81.40653
-0.9,100,81.870929
1.802,22,81.972951
1.892,12,82.029024
1.631,41,82.218104
-0.9,100,82.681653
1.901,11,82.734829
1.901,11,82.788584
-0.9,100,83.249623
1.766,26,83.369424
-0.9,100,83.828816
1.919,9,83.871653
1.883,13,83.932823
1.91,10,83.981269
1.856,16,84.05816
1.874,14,84.124665
-0.9,100,84.585703
1.712,32,84.733383
1.919,9,84.775834
-0.9,100,85.238475
