#{"t_start": 1674047912.177481, "env_id": null}
r,l,t
1.901,11,103.366448
-0.9,100,103.818391
1.604,44,104.016281
1.901,11,104.066541
1.928,8,104.103474
1.721,31,104.243229
1.784,24,104.351713
1.541,51,104.584639
1.613,43,104.782429
-0.9,100,105.230147
-0.9,100,105.678773
-0.9,100,106.133983
-0.9,100,106.5823
-0.9,100,107.033969
1.955,5,107.058022
1.73,30,107.201564
1.955,5,107.225895
1.838,18,107.308254
1.748,28,107.434577
-0.9,100,107.88022
1.928,8,107.917689
1.937,7,107.950964
1.874,14,108.014786
1.865,15,108.082736
1.955,5,108.106234
1.694,34,108.262387
1.586,46,108.474717
-0.9,100,108.923813
1.829,19,109.00982
-0.9,100,109.456154
-0.9,100,109.908501
-0.9,100,110.35138
-0.9,100,110.802631
1.676,36,110.970095
1.649,39,111.147034
1.883,13,111.206324
1.568,48,111.421947
-0.9,100,111.872995
1.856,16,111.946398
-0.9,100,112.40254
-0.9,100,112.848624
1.937,7,112.881191
-0.9,100,113.330293
-0.9,100,113.782847
1.946,6,113.810953
-0.9,100,114.259866
-0.9,100,114.71203
-0.9,100,115.16157
-0.9,100,115.610373
1.685,35,115.769406
1.82,20,115.862971
1.955,5,115.886998
1.775,25,116.003514
1.667,37,116.17066
-0.9,100,116.619458
-0.9,100,117.06832
1.856,16,117.14368
1.856,16,117.218841
1.919,9,117.261034
1.919,9,117.302923
1.874,14,117.366656
1.901,11,117.416933
1.892,12,117.471644
1.649,39,117.647367
-0.9,100,118.097632
1.892,12,118.152527
1.91,10,118.199027
1.919,9,118.241387
1.793,23,118.346743
1.946,6,118.375654
1.748,28,118.505597
1.901,11,118.556673
-0.9,100,119.004179
1.721,31,119.144222
1.793,23,119.247998
1.748,28,119.374236
1.649,39,119.551841
1.82,20,119.644793
1.73,30,119.783524
1.892,12,119.838643
-0.9,100,120.290907
1.91,10,120.336969
1.91,10,120.382656
-0.9,100,120.832541
1.874,14,120.898441
1.901,11,120.950679
1.892,12,121.0067
1.901,11,121.057922
-0.9,100,121.50104
1.82,20,121.591841
1.847,17,121.669209
1.865,15,121.737454
-0.9,100,122.188956
1.892,12,122.245349
-0.9,100,122.695124
1.883,13,122.754446
1.892,12,122.809272
1.685,35,122.968248
1.847,17,123.045294
1.955,5,123.069023
1.937,7,123.101464
1.883,13,123.160718
1.874,14,123.225084
1.91,10,123.271587
-0.9,100,123.727523
1.802,22,123.826702
1.631,41,124.011606
1.919,9,124.052824
1.919,9,124.094294
1.865,15,124.162534
1.874,14,124.226079
1.37,70,124.544283
1.676,36,124.711179
1.757,27,124.834911
1.856,16,124.907891
1.739,29,125.038331
-0.9,100,125.48455
1.712,32,125.628623
1.685,35,125.787149
1.901,11,125.838335
1.766,26,125.959754
1.559,49,126.182396
1.82,20,126.273303
1.739,29,126.404751
1.757,27,126.526383
1.694,34,126.679664
1.721,31,126.819424
-0.9,100,127.277067
1.793,23,127.382314
1.901,11,127.432603
1.901,11,127.48265
1.955,5,127.506252
1.946,6,127.534305
1.847,17,127.611642
1.928,8,127.648603
-0.9,100,128.094888
1.622,42,128.285436
-0.9,100,128.740877
1.856,16,128.813645
1.865,15,128.881868
1.838,18,128.963068
1.838,18,129.044824
1.811,21,129.139907
-0.9,100,129.5899
-0.9,100,130.041991
-0.9,100,130.49016
1.847,17,130.567201
1.91,10,130.613057
1.631,41,130.798866
1.856,16,130.872588
1.838,18,130.956382
1.838,18,131.041065
-0.9,100,131.487632
1.766,26,131.604824
1.829,19,131.691492
1.739,29,131.821958
-0.9,100,132.276645
-0.9,100,132.727577
1.802,22,132.827215
1.712,32,132.97461
1.676,36,133.137842
1.604,44,133.337255
-0.9,100,133.792385
1.901,11,133.842828
1.838,18,133.924568
1.847,17,134.001554
1.856,16,134.07388
1.703,33,134.222174
1.892,12,134.276828
1.919,9,134.318113
1.919,9,134.35955
-0.9,100,134.816365
-0.9,100,135.265619
-0.9,100,135.713143
-0.9,100,136.167122
1.712,32,136.311206
1.649,39,136.486243
