#{"t_start": 1674041989.0775886, "env_id": null}
r,l,t
1.766,26,97.740297
-0.9,100,98.205675
1.838,18,98.289684
-0.9,100,98.750169
1.712,32,98.899488
-0.9,100,99.365105
1.901,11,99.416938
1.937,7,99.450171
1.928,8,99.488007
1.937,7,99.521239
1.91,10,99.568302
1.82,20,99.661055
1.676,36,99.827679
1.937,7,99.86086
1.676,36,100.026747
1.91,10,100.074267
1.847,17,100.15431
1.586,46,100.371158
1.802,22,100.473723
1.865,15,100.543309
-0.9,100,101.003153
1.721,31,101.146132
1.766,26,101.266541
1.856,16,101.341671
1.811,21,101.440006
1.694,34,101.602207
1.901,11,101.654256
1.802,22,101.756096
1.649,39,101.935594
1.703,33,102.087117
1.865,15,102.157218
1.712,32,102.304547
1.667,37,102.475868
1.685,35,102.638583
1.892,12,102.695064
1.64,40,102.884697
1.955,5,102.909384
1.946,6,102.938292
1.937,7,102.97149
1.676,36,103.137914
-0.9,100,103.595544
-0.9,100,104.060474
-0.9,100,104.516312
-0.9,100,104.970321
1.703,33,105.123509
-0.9,100,105.586603
1.91,10,105.633647
-0.9,100,106.091237
1.919,9,106.133566
-0.9,100,106.601108
1.919,9,106.644319
-0.9,100,107.108694
-0.9,100,107.56693
-0.9,100,108.03276
1.685,35,108.194238
1.901,11,108.245828
-0.9,100,108.705594
1.604,44,108.90926
1.901,11,108.96134
1.928,8,108.999824
1.721,31,109.146887
1.784,24,109.259391
1.541,51,109.493312
1.613,43,109.691269
-0.9,100,110.152048
-0.9,100,110.617817
-0.9,100,111.08023
-0.9,100,111.542452
-0.9,100,112.00707
1.955,5,112.031192
1.73,30,112.169448
1.955,5,112.193545
1.838,18,112.277111
1.748,28,112.406398
-0.9,100,112.868404
1.928,8,112.906925
1.937,7,112.940745
1.874,14,113.006378
1.865,15,113.076022
1.955,5,113.099973
1.694,34,113.257631
1.586,46,113.468664
-0.9,100,113.929137
1.829,19,114.018855
-0.9,100,114.480391
-0.9,100,114.936929
-0.9,100,115.398865
-0.9,100,115.859692
1.676,36,116.025804
1.649,39,116.205186
1.883,13,116.265781
1.568,48,116.488683
-0.9,100,116.955024
1.856,16,117.029393
-0.9,100,117.486505
-0.9,100,117.951654
1.937,7,117.985398
-0.9,100,118.441237
-0.9,100,118.897908
1.946,6,118.926946
-0.9,100,119.394061
-0.9,100,119.852018
-0.9,100,120.317096
-0.9,100,120.780441
1.685,35,120.942195
1.82,20,121.035065
1.955,5,121.059114
1.775,25,121.174877
1.667,37,121.345519
-0.9,100,121.814239
-0.9,100,122.271079
1.856,16,122.345506
1.856,16,122.419676
1.919,9,122.462082
1.919,9,122.504621
1.874,14,122.569751
1.901,11,122.621321
1.892,12,122.678228
1.649,39,122.862207
-0.9,100,123.326017
1.892,12,123.382402
1.91,10,123.4295
1.919,9,123.472155
-0.9,100,123.927498
1.946,6,123.956666
1.73,30,124.097808
1.901,11,124.151594
-0.9,100,124.612664
1.721,31,124.756146
1.793,23,124.862697
1.748,28,124.991839
1.649,39,125.172123
1.82,20,125.266566
1.73,30,125.409409
1.892,12,125.466688
-0.9,100,125.927444
1.91,10,125.974475
1.91,10,126.021369
-0.9,100,126.482887
1.874,14,126.549078
1.901,11,126.602693
1.892,12,126.661464
1.901,11,126.713937
1.649,39,126.893823
1.82,20,126.986572
1.847,17,127.065767
1.865,15,127.135591
-0.9,100,127.592409
1.892,12,127.648537
-0.9,100,128.116902
1.883,13,128.177563
1.892,12,128.235973
1.685,35,128.397169
1.847,17,128.47609
1.955,5,128.500622
1.937,7,128.533908
1.883,13,128.594472
1.874,14,128.659897
1.91,10,128.706756
-0.9,100,129.173378
1.802,22,129.277249
1.631,41,129.466252
1.919,9,129.508453
1.919,9,129.550929
1.865,15,129.620762
1.874,14,129.685743
1.37,70,130.007503
1.676,36,130.173724
1.757,27,130.299383
1.856,16,130.374948
1.739,29,130.511649
-0.9,100,130.968157
1.712,32,131.117469
1.685,35,131.278239
1.901,11,131.329763
1.766,26,131.450919
1.559,49,131.683708
1.82,20,131.778085
1.739,29,131.91219
1.757,27,132.038092
1.694,34,132.196708
1.721,31,132.339792
-0.9,100,132.803858
1.793,23,132.914362
1.901,11,132.969795
1.901,11,133.022344
1.955,5,133.046865
1.946,6,133.075941
1.847,17,133.154932
1.928,8,133.192608
-0.9,100,133.647255
1.622,42,133.840405
-0.9,100,134.305747
1.856,16,134.380388
1.865,15,134.450586
1.838,18,134.534203
1.838,18,134.617943
1.811,21,134.715465
-0.9,100,135.174985
-0.9,100,135.639647
-0.9,100,136.100993
1.847,17,136.180222
1.91,10,136.227225
1.631,41,136.416115
1.856,16,136.491694
-0.9,100,136.960453
1.838,18,137.044235
-0.9,100,137.503316
1.766,26,137.623308
1.829,19,137.712445
1.721,31,137.857545
-0.9,100,138.320417
-0.9,100,138.780206
1.802,22,138.882401
1.703,33,139.036686
1.604,44,139.244685
1.604,44,139.448077
-0.9,100,139.907295
1.901,11,139.958832
1.82,20,140.051625
1.847,17,140.13057
1.856,16,140.204714
1.703,33,140.360866
1.892,12,140.418104
1.919,9,140.462718
1.919,9,140.50588
-0.9,100,140.966842
-0.9,100,141.429652
-0.9,100,141.898719
-0.9,100,142.354491
1.712,32,142.502545
1.649,39,142.681978
