#{"t_start": 1674047749.515179, "env_id": null}
r,l,t
1.946,6,39.768289
1.928,8,39.806379
1.946,6,39.834887
1.928,8,39.872343
1.937,7,39.90468
1.955,5,39.928201
1.928,8,39.965109
1.928,8,40.002104
1.892,12,40.056705
1.928,8,40.093533
1.928,8,40.13037
1.901,11,40.18065
1.901,11,40.231015
1.901,11,40.281321
1.901,11,40.331394
1.883,13,40.390522
1.883,13,40.450602
1.874,14,40.514215
1.874,14,40.577594
1.874,14,40.641188
1.928,8,40.678036
1.928,8,40.714882
1.946,6,40.742887
-0.9,100,41.196069
1.928,8,41.233098
1.946,6,41.261111
1.883,13,41.320266
1.847,17,41.397142
1.892,12,41.451993
1.901,11,41.502183
1.892,12,41.556789
1.892,12,41.611538
1.955,5,41.635163
1.928,8,41.672143
1.919,9,41.713622
-0.9,100,42.159226
1.919,9,42.201897
1.928,8,42.239902
1.856,16,42.317665
1.919,9,42.359798
1.919,9,42.40164
-0.9,100,42.845572
1.901,11,42.89598
1.91,10,42.941874
1.901,11,42.992388
1.865,15,43.06045
1.928,8,43.097313
1.91,10,43.14331
1.919,9,43.184718
-0.9,100,43.635005
1.946,6,43.663335
1.919,9,43.70466
1.955,5,43.728266
1.901,11,43.778678
1.919,9,43.820171
1.946,6,43.848219
1.901,11,43.898404
1.883,13,43.957559
1.91,10,44.003322
1.874,14,44.066895
1.892,12,44.121568
1.892,12,44.176548
1.91,10,44.222372
1.91,10,44.268235
1.928,8,44.305256
1.901,11,44.355774
1.919,9,44.397204
1.919,9,44.438617
1.91,10,44.484406
1.901,11,44.53462
1.91,10,44.581511
1.919,9,44.623512
1.919,9,44.665767
1.91,10,44.713068
1.91,10,44.759813
1.883,13,44.821916
1.883,13,44.882219
1.892,12,44.936877
1.874,14,45.000592
1.892,12,45.055777
1.955,5,45.079379
1.937,7,45.111823
1.928,8,45.148759
1.937,7,45.181235
1.946,6,45.209259
1.901,11,45.259597
1.901,11,45.309755
1.883,13,45.368843
1.91,10,45.414561
1.919,9,45.456588
1.883,13,45.515732
1.874,14,45.579205
1.874,14,45.642689
1.883,13,45.701853
1.892,12,45.75651
1.91,10,45.802538
1.892,12,45.858397
1.883,13,45.918303
1.874,14,45.983435
1.901,11,46.034833
1.901,11,46.087685
1.883,13,46.148211
1.883,13,46.208025
1.91,10,46.253792
1.91,10,46.29949
1.892,12,46.354199
1.919,9,46.395612
1.901,11,46.445913
1.856,16,46.51835
1.928,8,46.555346
1.928,8,46.594923
1.91,10,46.640545
1.955,5,46.664176
1.946,6,46.692181
1.946,6,46.720219
1.946,6,46.748239
1.937,7,46.780828
1.91,10,46.826622
1.91,10,46.872418
1.919,9,46.913844
1.919,9,46.955232
-0.9,100,47.408503
1.946,6,47.436921
1.964,4,47.455909
1.946,6,47.483999
1.946,6,47.51198
1.928,8,47.548962
1.928,8,47.586097
1.937,7,47.618817
1.928,8,47.655684
1.964,4,47.674699
1.946,6,47.702745
1.919,9,47.744173
1.937,7,47.77686
-0.9,100,48.22013
1.91,10,48.265869
1.901,11,48.31628
1.91,10,48.362952
1.874,14,48.428023
1.928,8,48.46515
1.892,12,48.521887
1.892,12,48.5796
1.892,12,48.635321
1.874,14,48.699613
1.901,11,48.749947
-0.9,100,49.193565
1.892,12,49.248171
1.865,15,49.315837
1.883,13,49.374923
1.892,12,49.429647
1.919,9,49.470982
1.919,9,49.51227
1.901,11,49.562483
1.901,11,49.613931
1.901,11,49.664788
1.892,12,49.720329
1.883,13,49.781857
1.919,9,49.825783
