#{"t_start": 1674041820.6649625, "env_id": null}
r,l,t
1.928,8,34.968727
1.874,14,35.0351
1.928,8,35.073426
1.874,14,35.138646
1.883,13,35.199362
1.91,10,35.246326
1.919,9,35.288681
1.919,9,35.331179
1.901,11,35.382754
1.928,8,35.420654
1.919,9,35.463092
1.928,8,35.500992
1.955,5,35.525197
1.964,4,35.544688
1.919,9,35.587073
1.928,8,35.625274
1.937,7,35.658412
1.919,9,35.700781
1.937,7,35.734001
1.937,7,35.76706
1.919,9,35.809848
-0.9,100,36.271956
1.919,9,36.314828
1.919,9,36.35727
1.928,8,36.395195
1.946,6,36.424008
1.937,7,36.45722
1.937,7,36.490433
1.928,8,36.528533
1.955,5,36.552598
1.946,6,36.5813
-0.9,100,37.036889
1.937,7,37.070194
1.892,12,37.1262
1.928,8,37.163984
1.892,12,37.220496
1.883,13,37.28217
1.856,16,37.357974
1.892,12,37.416304
1.874,14,37.484295
1.874,14,37.550672
1.91,10,37.597922
1.91,10,37.644801
1.91,10,37.691643
1.883,13,37.752206
1.91,10,37.799089
1.928,8,37.836829
1.91,10,37.883863
1.937,7,37.917113
1.928,8,37.954966
1.937,7,37.988211
1.91,10,38.035074
1.928,8,38.0729
1.883,13,38.133438
1.937,7,38.166695
1.892,12,38.222824
1.91,10,38.269639
1.919,9,38.312267
1.892,12,38.368341
1.91,10,38.415219
1.865,15,38.485369
1.874,14,38.5515
1.883,13,38.612885
1.856,16,38.689364
1.847,17,38.771353
1.883,13,38.833072
1.892,12,38.891451
1.901,11,38.942924
1.892,12,38.998976
1.901,11,39.050399
1.937,7,39.08367
1.901,11,39.135114
1.928,8,39.173036
1.919,9,39.215867
1.937,7,39.249061
1.928,8,39.286882
1.919,9,39.329272
1.955,5,39.353249
1.946,6,39.381919
1.937,7,39.415266
1.91,10,39.462627
1.901,11,39.514122
1.892,12,39.569964
1.883,13,39.630469
1.901,11,39.681857
1.883,13,39.74289
1.892,12,39.800052
1.91,10,39.848686
1.892,12,39.906919
1.919,9,39.950315
1.865,15,40.022772
1.919,9,40.066053
1.892,12,40.122735
1.892,12,40.178966
1.865,15,40.248658
1.901,11,40.300135
1.901,11,40.351543
1.865,15,40.421233
1.874,14,40.486153
1.883,13,40.546598
1.928,8,40.584331
1.901,11,40.635691
1.919,9,40.678022
1.892,12,40.734254
1.883,13,40.794824
1.928,8,40.832664
1.919,9,40.875012
1.928,8,40.912922
-0.9,100,41.378398
